君は僕をスキになる (1989) ,クリスマス・イブ,クリスマス・イブ,クリスマス合唱名曲集,Katsunori Maeda,2012,203920,35,9,1,0.435,0.995,0.0663,0.767,0.0969,-27.845,0.0322,124.546,4,0.251
夜逃げ屋本舗 (1999) ,I HAVE NEVER SEEN,I HAVE NEVER SEEN,Finally,Namie Amuro,2019-06-16,285973,28,2,0,0.698,0.0838,0.818,8.36e-06,0.0949,-4.078,0.0345,112.014,4,0.276
未来の想い出 Last Christmas (1992) ,ラスト・クリスマス,ラスト・クリスマス,ギターソロ 永遠のベストソング~スターダスト,Kenichi Ebe,2015-11-18,281986,3,9,1,0.633,0.95,0.0923,0.925,0.109,-28.15,0.0562,107.639,4,0.398
名探偵コナン 世紀末の魔術師 (1999) ,One,One,Aerial Ballet,Harry Nilsson,1968-07-01,171906,58,0,0,0.455,0.946,0.063,0.000131,0.1,-21.191,0.0387,125.392,4,0.208
ステイン・アライブ Staying Alive (1983) ,Far From Over,Far From Over,Light It Up,Rev Theory,2008-01-01,238973,43,0,0,0.403,0.000778,0.962,0,0.117,-3.232,0.0924,154.068,4,0.377
フレディVSジェイソン Freddy vs. Jason (2003) ,When Darkness Falls,When Darkness Falls,The End of Heartache (Special Edition),Killswitch Engage,2004-05-03,232546,44,8,1,0.437,0.000421,0.952,0.00335,0.248,-3.433,0.0769,89.996,4,0.332
今夜、宇宙の片隅で (1998) ,But Not For Me,But Not For Me,Ella Fitzgerald Sings The George And Ira Gershwin Song Book,Ella Fitzgerald,1959-01-01,214253,47,8,1,0.177,0.92,0.216,0.00449,0.102,-16.559,0.036,80.141,4,0.162
男はつらいよ 寅次郎 紅の花 (1995) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ 拝啓 車寅次郎様 (1994) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ 寅次郎の縁談 (1993) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ 寅次郎の青春 (1992) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ 寅次郎の告白 (1991) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ 寅次郎の休日 (1990) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
男はつらいよ ぼくの伯父さん (1989) ,男はつらいよ,男はつらいよ,RETRO MODERN DANDY,Takeshi Senoo,2009-10-21,141226,20,7,1,0.397,0.993,0.306,0.878,0.0796,-14.046,0.0372,129.555,4,0.307
